Município,Código,Demonym ,Prefeito [2017],Area - km^2 [2019],Population Estimate -  [2020],Densidade – hab/km^2 [2010],Schooling (6 to 14 years old) - % [2010],MHDI (Municipal human development index) [2010],Mortalidade Infantil - deaths per 1000 live births [2013],Realized revenue - R$ (*1000) [2017],Committed expenditure - R$ (*1000) [2017],GDP Per Capita - R$ (*1000) [2017]
Monte Belo,3143005,monte-belano,VALDEVINO DE SOUZA,421.283,13152,31,98.2,0.688,7.19,34048.11105,28909.42199,21033.72
Monte Carmelo,3143104,carmelitano,PAULO RODRIGUES ROCHA,1343.035,47931,34.08,98.4,0.728,14.9,110240.1879,93227.07346,22628.06
Monte Formoso,3143153,monte formosense,JOSE GOMES DA SILVA,385.553,4923,12.08,97.7,0.541,46.15,14335.17171,13686.72977,6500.66
Monte Santo de Minas,3143203,monte-santense,PAULO SERGIO GORNATI,594.632,21513,35.71,98.3,0.71,14.35,48801.60968,43342.51696,16287.85
Montes Claros,3143302,montes-clarense,HUMBERTO GUIMARAES SOUTO,3589.811,413487,101.41,98.4,0.77,9.88,692543.64705,558701.19738,22302.13
Monte Sião,3143401,monte-sionense,JOSÉ POCAI JUNIOR,291.594,24029,72.71,95.9,0.724,8.97,60043.16592,52581.48169,17618.42
Montezuma,3143450,montesumense,FABIANO COSTA SOARES,1130.419,8315,6.6,97.1,0.587,11.49,18547.33151,17838.25004,7378.71
Morada Nova de Minas,3143500,moradense,OLIMPIO FRANCISCO DE MOURA,2084.275,8910,3.96,97.8,0.696,23.53,32024.40207,34452.62418,30761.39
Morro da Garça,3143609,morrense,JOSÉ MARIA DE CASTRO MATOS,414.772,2437,6.41,96.6,0.648,45.45,18805.66788,16100.92941,18214.3
Morro do Pilar,3143708,morrense,JOSE DE MATOS VIEIRA NETO,477.548,3153,7.12,96.5,0.597,38.46,15517.67203,12244.28546,9755.78
Munhoz,3143807,munhozense,OTAVIO LUIZ DE SOUZA,191.564,5994,32.66,97.4,0.647,37.04,16758.76595,15302.07971,14083.3
Muriaé,3143906,muriaense,IOANNIS KONSTANTINOS GRAMMATIKOPOULOS,841.693,109392,119.72,97.3,0.734,7.17,298066.76074,253341.49921,19349.51
